product_name,product_link,product_price,product_rating,no_rating,page_no
"EVRUM Sling Bag For Men CrossBody Backpack For Men Women, Anti-Theft Chest Bag With USB Charging Port, Waterproof Casual Shoulder Bag Travel Hiking Sling Backpack Carbon Fiber",https://www.amazon.in/EVRUM-Business-Protection-Crossbody-Waterproof/dp/B0BX6VKQ35/ref=sr_1_256?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-256,"1,619",4.9,70 ratings,16
"SNDIA 2-Set Multipurpose Transparent Travel Pouch Makeup Toiletry Kit Bag Cosmetic Pouch for Women Makeup Organizer Bag Plastic Box Vanity, Shaving Kit Toiletry Bag for Men (23.5x15.5x10 cm)",https://www.amazon.in/SNDIA-Transparent-Storage-Cosmetic-Toiletry/dp/B095PFZLJR/ref=sr_1_257?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-257,398,4.2,674 ratings,16
Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),https://www.amazon.in/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY/ref=sr_1_258?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-258,"1,499.00",4.3,925 ratings,16
F Gear Burner 19 Liters P10 Sky Blue Casual Backpack (2186),https://www.amazon.in/F-Gear-Burner-P10-26-Ltrs-Blue-Casual-Backpack/dp/B01611Z04M/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-259,799,4.3,"2,122 ratings",16
"Frantic Velvet Kids Soft Cartoon Animal Travelling School Bag Soft Plush Backpacks Baby Girls Boys for 2 to 5 Years Baby/Boys/Girls Nursery, Picnic,Preschool",https://www.amazon.in/Frantic-Soft-Elephant-Velvet-Plush/dp/B07P9JFYZ5/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1685048370&sprefix=ba%2Caps%2C283&sr=8-260,279,3.9,"5,090 ratings",16
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 2 Compartments Bag | Travel Purse Hobo Bag | 3 Pockets Shoulder Bag,https://www.amazon.in/Fostelo-Jane-Womens-Handbag-Black/dp/B072VF1GHP/ref=sr_1_259?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-259,669,3.8,"1,291 ratings",17
Lavie Sport Perk 36 litres Backpack with Laptop Sleeve | School College Bag for Boys & Girls,https://www.amazon.in/Lavie-Sport-Casual-Backpack-PERK/dp/B083KT22HZ/ref=sr_1_260?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-260,999,3.6,222 ratings,17
"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2XC4H/ref=sr_1_263?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-263,398,5,4 ratings,17
Aristocrat Polyester Hard 60 Cms Luggage- Suitcase(Dfroo62Etbl_Teal Blue),https://www.amazon.in/Aristocrat-Rookie-Duffle-Teal-Blue/dp/B09NXV58V3/ref=sr_1_264?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-264,999,4,562 ratings,17
Lino Perros womens handbag,https://www.amazon.in/Lino-Perros-Womens-Floral-Peach/dp/B0B57B7KV7/ref=sr_1_265?crid=2M096C61O4MLT&keywords=bags&qid=1685048374&sprefix=ba%2Caps%2C283&sr=8-265,"1,389",4.1,"3,271 ratings",17
